"id";"nome";"descricao";"preco";"estoque";"ativo"
1;"SORVETE LUIGI 1,5lt";"Sorvetes";22.5;1000;1
2;"COCA-COLA 2lts";"Bebida";14.7;1000;1
3;"COXINHA DE FRANGO";"Salgados";0.65;1000;1
4;"BOLINHA DE QUEIJO";"Salgados";0.65;1000;1
5;"Arroz 10kg";"Arroz branco tipo 1";29.0;50;1
6;"Arroz 10kg";"Arroz branco tipo 1";29.0;50;1
7;"Feijão 1,5kg";"Feijão carioca";6.2;50;1
8;"Arroz 100kg";"Arroz branco tipo 1";55.1;50;1
9;"Arroz 110kg";"Arroz branco tipo 1";201.0;50;1
10;"Feijão 1,5kg";"Feijão carioca";35.0;50;1
11;"Feijão 1,5kg";"Feijão carioca";35.0;7;1
12;"Feijão 1,5kg";"Feijão carioca";101.0;7;1
